H1,H2,H3,H4,H5,H6,H7,H8,HWMean,Q1,Q2,Proj1,Proj2,total
10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.875,93.61904762,81.09756098,96.75,97.0,68.089038909
10.0,10.0,10.0,9.9,9.5,9.0,10.0,10.0,9.8,76.0952381,66.46341463,96.5,86.0,61.3190360045
10.0,10.0,9.5,10.0,9.5,10.0,10.0,10.0,9.875,86.38095238,85.36585366,95.0,95.0,67.155473287
10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,83.07692308,98.93,95.0,94.5,68.76469230800001
10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.875,91.9047619,95.12195122,94.5,91.0,68.07126887300001
10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,9.95,93.05263158,93.01470588,94.8,94.7,68.87746904000001
10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,94.23076923,93.6,93.0,93.17,68.351826923
9.5,10.0,10.0,10.0,9.9,10.0,10.0,10.0,9.925,88.84210526,85.29411765,95.0,95.3,67.4808281735
9.5,9.9,10.0,10.0,10.0,9.5,10.0,10.0,9.8625,87.61904762,85.97560976,94.5,91.0,66.266996226
10.0,10.0,10.0,10.0,10.0,8.5,9.5,10.0,9.75,78.0952381,85.97560976,95.0,95.0,66.380865274
10.0,10.0,10.0,10.0,10.0,10.0,9.75,10.0,9.96875,89.89473684,92.27941176,95.0,95.7,68.747010448
10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.9875,87.89473684,94.11764706,94.0,95.7,68.628370743
10.0,10.0,10.0,9.8,9.5,9.0,9.0,10.0,9.6625,89.42857143,86.58536585,95.5,94.0,67.4294120205
10.0,9.9,9.9,10.0,10.0,10.0,9.8,9.8,9.924999999999999,86.15384615,60.42,95.13,94.17,63.224384615000005
10.0,10.0,9.5,10.0,9.5,9.0,10.0,10.0,9.75,77.9047619,78.04878049,96.75,97.0,66.0227932635
10.0,9.9,9.5,10.0,10.0,10.0,10.0,10.0,9.925,84.76190476,88.41463415,96.5,96.0,68.01588559849999
10.0,10.0,10.0,10.0,9.9,9.8,10.0,10.0,9.9625,94.92307692,96.46,95.63,92.5,69.201057692
10.0,10.0,10.0,9.9,10.0,7.0,8.0,8.0,9.1125,76.92307692,84.71,98.88,94.0,66.40855769199999
9.75,10.0,9.5,9.5,9.5,10.0,9.5,10.0,9.71875,65.78947368,69.85294118,89.0,96.3,61.847513545
10.0,10.0,9.5,9.9,9.25,9.5,10.0,10.0,9.76875,68.47619048,68.90243902,96.5,89.0,61.663609901
10.0,9.9,10.0,8.8,9.5,9.5,10.0,10.0,9.7125,83.61904762,76.2195122,95.0,95.0,65.458581592
0.0,0.0,0.0,10.0,9.9,10.0,9.75,10.0,6.20625,74.10526316,83.82352941,90.0,96.7,64.0209307275
10.0,9.9,9.5,9.5,9.5,10.0,10.0,10.0,9.8,72.76190476,79.26829268,95.5,94.0,64.706434378
10.0,10.0,9.75,10.0,9.5,10.0,9.75,10.0,9.875,91.42857143,92.68292683,96.75,97.0,69.6077961675
10.0,10.0,10.0,10.0,9.9,9.2,10.0,10.0,9.8875,95.76923077,76.68,98.38,95.17,67.513673077
10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,93.07692308,85.3,95.5,92.67,67.366442308
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,71.57894737,71.32352941,89.5,91.3,61.581424148500005
10.0,10.0,10.0,10.0,9.25,10.0,10.0,10.0,9.90625,93.80952381,95.12195122,96.5,96.0,69.921120064
10.0,9.8,9.8,8.0,8.0,8.0,8.0,8.0,8.7,56.92307692,72.86,93.25,95.33,61.713807692
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.84615385,94.53,99.63,97.5,70.865115385
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.76923077,91.15,98.5,93.0,69.199423077
10.0,10.0,9.9,9.95,9.9,10.0,10.0,10.0,9.96875,90.42105263,91.17647059,90.0,96.3,67.7842008515
10.0,10.0,10.0,9.0,9.9,10.0,10.0,10.0,9.8625,85.38461538,83.92,95.75,91.83,66.192711538
10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,9.9875,88.84615385,93.08,99.13,92.83,68.876365385
10.0,9.75,10.0,10.0,10.0,10.0,10.0,10.0,9.96875,91.05263158,91.91176471,89.5,92.3,66.85765286450001
10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.9375,89.52380952,91.46341463,96.75,97.0,69.25314314650001
10.0,10.0,9.9,10.0,9.9,9.0,9.0,9.0,9.6,91.53846154,86.81,99.5,94.0,68.45534615400001
10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.9375,94.76190476,92.68292683,95.5,94.0,68.9598795005
9.0,10.0,10.0,9.9,9.5,10.0,10.0,10.0,9.8,90.0,80.48780488,96.5,86.0,64.813170732
9.75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.96875,87.36842105,89.70588235,93.8,95.3,67.7683494575
10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,9.975,81.57894737,94.11764706,90.0,92.3,66.343041796
10.0,10.0,10.0,10.0,10.0,8.9,10.0,10.0,9.8625,76.92307692,69.45,97.75,93.33,63.951057692
10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.875,90.42105263,88.97058824,90.5,93.3,66.775193499
9.75,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.84375,85.33333333,82.31707317,95.0,95.0,66.5840193085
9.75,10.0,10.0,10.0,10.0,9.5,10.0,10.0,9.90625,73.80952381,69.51219512,96.5,89.0,62.329656649
10.0,10.0,10.0,9.8,9.9,9.0,7.0,8.0,9.212499999999999,74.23076923,78.79,98.63,93.83,65.188826923
10.0,9.5,10.0,10.0,10.0,10.0,9.9,10.0,9.925,92.69230769,92.41,95.25,93.58,68.55323076900001
10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,91.15384615,89.45,92.13,93.67,67.372634615
10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.9375,91.89473684,92.64705882,92.3,93.0,67.777782507
9.5,10.0,9.5,9.5,9.5,10.0,10.0,10.0,9.75,74.94736842,79.41176471,89.5,92.7,63.4065015485
10.0,10.0,9.5,9.5,10.0,8.5,10.0,10.0,9.6875,53.33333333,48.17073171,95.5,94.0,58.0651930895
10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,9.9625,64.73684211,76.47058824,90.0,91.3,61.758022447
10.0,10.0,10.0,9.9,9.5,10.0,10.0,10.0,9.925,90.47619048,89.02439024,96.5,96.0,68.67877758399999
10.0,10.0,10.0,9.8,9.5,9.5,10.0,10.0,9.85,81.33333333,76.2195122,96.5,86.0,63.321260163
9.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.8125,86.21052632,91.91176471,92.0,93.3,67.0765673385
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.38461538,100.0,98.88,94.167,70.65621153800001
10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.0,9.8625,84.15384615,80.56521739,88.63,90.67,63.852417223500005
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,94.23076923,91.64,99.63,97.5,70.47007692300001
9.5,10.0,10.0,10.0,10.0,9.5,9.5,10.0,9.8125,47.14285714,60.36585366,96.5,96.0,60.012913763
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.38461538,100.0,89.13,93.67,68.78196153799999
10.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,8.875,87.69230769,82.96,99.13,92.83,66.909230769
10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.75,95.0,97.74,92.63,94.08,69.132
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,90.52631579,91.17647059,92.3,93.0,67.4391021675
9.5,9.5,9.9,10.0,9.7,10.0,10.0,10.0,9.825,82.10526316,83.82352941,96.0,94.0,66.43155572750001
10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,90.76923077,84.71,98.63,93.83,67.959423077
10.0,10.0,10.0,9.8,10.0,10.0,9.8,9.8,9.924999999999999,88.30769231,80.06,99.5,93.92,67.197269231
10.0,10.0,9.75,10.0,10.0,10.0,9.5,10.0,9.90625,72.85714286,78.65853659,95.5,94.0,64.6563697745
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.07692308,93.08,98.88,92.67,69.713192308
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,99.23076923,99.84,98.88,92.83,70.882576923
9.5,10.0,10.0,10.0,9.9,6.5,10.0,6.0,8.9875,94.23076923,85.3,87.5,90.33,64.996826923
10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,93.84615385,100.0,92.75,93.0,69.180865385
10.0,10.0,9.5,9.8,9.0,9.0,9.75,10.0,9.63125,71.42857143,84.14634146,94.5,91.0,64.304183362
10.0,9.75,9.8,10.0,9.9,10.0,9.5,10.0,9.868749999999999,58.42105263,74.26470588,96.5,95.7,63.167436145
10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.9875,84.73684211,90.44117647,89.5,92.0,65.93611068150001
9.5,9.9,10.0,9.95,9.5,9.0,10.0,10.0,9.73125,80.0,74.3902439,96.5,96.0,65.37791158499999
10.0,9.0,10.0,10.0,9.8,10.0,10.0,10.0,9.85,88.94736842,87.5,93.8,95.0,67.484736842
10.0,9.5,10.0,10.0,10.0,10.0,10.0,9.8,9.9125,94.61538462,84.12,92.75,92.83,66.810788462
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.84615385,78.79,95.75,92.67,66.020615385
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.92307692,86.81,96.5,92.83,67.721307692
10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.9375,81.80952381,88.41463415,94.5,91.0,66.07439750350001
10.0,10.0,10.0,10.0,9.9,10.0,9.0,10.0,9.8625,95.0,81.75,92.88,93.33,66.62975
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.38461538,100.0,95.0,93.33,69.87096153799999
10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,9.9875,92.69230769,90.19,99.63,98.0,70.219980769
10.0,10.0,9.9,9.7,9.7,10.0,10.0,10.0,9.9125,65.57894737,75.73529412,91.0,96.3,63.166938855
10.0,10.0,10.0,9.9,9.8,10.0,9.5,10.0,9.9,55.78947368,79.77941176,92.8,95.3,62.900859131999994
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,83.44,98.38,92.67,68.3595
10.0,10.0,10.0,10.0,9.9,8.0,8.5,10.0,9.55,96.07692308,54.5,88.0,88.88,60.467692308000004
9.5,10.0,9.0,10.0,9.5,9.0,10.0,10.0,9.625,84.28571429,87.19512195,95.0,95.0,67.1453397215
10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,9.95,90.94736842,89.70588235,90.0,92.0,66.5356191945
10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,90.76923077,93.6,95.5,92.33,68.291923077
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.38461538,90.04,95.75,92.33,67.876961538
10.0,10.0,9.9,10.0,9.9,10.0,10.0,9.8,9.95,95.0,92.12,95.75,93.0,68.703
10.0,10.0,10.0,9.9,9.8,10.0,10.0,10.0,9.9625,79.36842105,87.5,89.5,9.0,44.200592105
